"Problem","Severity","Normalized Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"1","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","1","27","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"2","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","1","27","ExcessivePublicCount","This class has a bunch of public methods and attributes","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#excessivepubliccount","Design","pmd"
"3","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","6","50","AvoidHardcodingId","Hardcoding Ids is bound to break when changing environments.","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_errorprone.html#avoidhardcodingid","Error Prone","pmd"
"4","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","8","18","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"5","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","11","23","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"6","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","13","23","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"7","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","15","23","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"8","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","17","23","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"9","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","19","19","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"10","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","23","24","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"11","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","26","20","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"12","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","26","20","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"13","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","27","20","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
